shared name	BHI_2011_EGDe[RNASeq]	BHI_2014_EGDe[RNASeq]	BHI_Long_2014_EGDe[RNASeq]	BHI_Medium_2014_EGDe[RNASeq]	BHI_Short_2014_EGDe[RNASeq]	High_10_Plantarum_Pediocin_2014[RNASeq]	High_180_Plantarum_Pediocin_2014[RNASeq]	High_60_Plantarum_Pediocin_2014[RNASeq]	High_60_Proteinase_Plantarum_Pediocin_2014[RNASeq]	LB_2014_EGDe[RNASeq]	LB_B12_2014_EGDe[RNASeq]	LB_B12_EA_2014_EGDe[RNASeq]	LB_EA_2014_EGDe[RNASeq]	Lmo0753_Rhamnose_2013_EGDe[RNASeq]	Macrophages_2011_EGDe[RNASeq]	Macrophages_2014_EGDe[RNASeq]	Macrophages_Long_2014_EGDe[RNASeq]	Macrophages_Medium_2014_EGDe[RNASeq]	Macrophages_Short_2014_EGDe[RNASeq]	Mid_180_Plantarum_Pediocin_2014[RNASeq]	Mid_60_Plantarum_Pediocin_2014[RNASeq]	WT_2012_EGDe[RNASeq]
lmo0808	3.991136588	-3.377998573	-2.769358854	0.15477628	0.568069745	-0.754555436	-2.136369646	-1.646966057	-0.881583995	-2.553628066	-2.969239327	-2.384593365	-2.438578207	-1.020382043	-0.103870807	-2.025127551	-0.479383744	-1.149461651	-0.776138359	-2.838510776	-1.00874363	-3.340855142
lmo0809	0	-2.372645338	-2.385493997	-1.129377103	-0.322468617	-0.257912424	-1.588639402	-1.148323903	-0.467113536	-1.924838183	-2.133811094	-1.975884436	-1.905774931	-0.991349441	-4.240179951	-0.574705798	0.178046187	0.50796828	0.410821682	-3.243856879	-0.714237476	-2.714013531
lmo0810	0	-0.940649624	-0.567549792	0.056528806	-0.107865443	-0.27454582	-1.332033301	-1.17936373	-0.489913759	-1.600226004	-1.961202008	-1.637265399	-1.981093358	-1.177731115	-4.240179951	0.156531641	1.350655273	0.603615384	0.541458498	-3.620121192	-0.641559975	-2.126366946
lmo0811	7.197587465	4.186803808	3.218451737	2.393648635	2.200557121	3.037050904	2.914953593	3.437881373	3.385337991	2.595231644	2.175230093	2.645738332	2.708525477	5.201705803	-4.240179951	5.236987537	2.534422055	0.755162337	0.430312519	2.565218639	3.093931307	0.704314828
lmo0812	7.153068799	0.953638052	-1.344392238	-0.027245911	-0.884707889	-1.503727916	-0.291369067	-1.097246199	-1.17988833	-1.683611381	-1.77792331	-1.571995406	-1.598574091	-0.144141605	3.643023904	1.227255574	-0.387840862	-0.233005475	-0.602524343	0.023985352	-1.109474707	-0.673719474
lmo0813	3.883076842	0.73553908	0.528573759	-0.390347272	-0.549837787	-0.770505282	2.336421426	-1.595119083	-1.516181161	-1.246650313	-1.072853168	-2.106999418	-2.082690853	-0.202826471	0.788069447	-0.470527343	0.927129683	0.60350219	0.539609604	2.623736542	-1.04977424	2.559729206
lmo0814	3.79182778	-0.451776499	-0.081142392	0.614976926	0.426476435	-0.362869205	-3.043477651	-0.769153163	-0.660896336	-0.925300921	-0.957651353	-1.472009293	-1.486879227	-0.698400042	-0.303179615	-0.464134046	-1.16411938	0.376369699	0.649994403	-2.118963685	-0.325502611	0.803790451
lmo0815	0	-3.677091239	-0.860558669	0.464492856	0.376733259	0.465186683	-2.729435771	0.085584474	-0.049021686	-0.970474264	-0.900822864	-0.7861333	-0.885258676	-1.123686803	-4.240179951	-0.163379974	1.551672191	0.78848488	0.062272499	-2.923713771	0.034277605	-3.202884003
lmo0816	4.667072749	-2.461054313	-0.71491107	-0.628719178	-0.001470129	0.292193612	-2.421821872	-0.019666598	0.023023516	-1.262716836	-1.413984649	-0.962413796	-1.141651236	-2.000851607	2.572065354	-0.163583242	1.196552416	-0.181344739	-0.599773208	-2.910195695	-0.121474981	-1.905927081
lmo0817	4.959427728	-3.411515568	-1.122995809	-1.014436104	-0.171458363	-2.042154908	-1.842008986	-2.248220605	-2.216520238	-1.585336926	-1.445980427	-1.589138821	-1.792215162	0.698352478	2.449382834	-2.453070146	-0.733485025	0.393944204	0.911416374	-1.131223957	-2.287989384	-0.422879267
